disterl,4,1,1048576,1000,0,4313660
partisan,4,1,1048576,1000,0,212908
partisan,4,4,1048576,1000,0,296445
disterl,1,1,1048576,1000,1,1075045
partisan,1,1,1048576,1000,1,127587
partisan,1,1,1048576,1000,1,123434
disterl,2,1,1048576,1000,1,2117777
partisan,2,1,1048576,1000,1,131670
partisan,2,2,1048576,1000,1,183067
disterl,4,1,1048576,1000,1,4398349
partisan,4,1,1048576,1000,1,192819
partisan,4,4,1048576,1000,1,317337
disterl,8,1,1048576,1000,1,74121639
partisan,8,1,1048576,1000,1,6400158
partisan,8,8,1048576,1000,1,6551865
disterl,1,1,2097152,1000,1,2141995
partisan,1,1,2097152,1000,1,117699
partisan,1,1,2097152,1000,1,148434
disterl,2,1,2097152,1000,1,4361840
partisan,2,1,2097152,1000,1,154911
partisan,2,2,2097152,1000,1,185642
disterl,4,1,2097152,1000,1,8769332
partisan,4,1,2097152,1000,1,188425
partisan,4,4,2097152,1000,1,342837
disterl,8,1,2097152,1000,1,147629095
partisan,8,1,2097152,1000,1,11193229
partisan,8,8,2097152,1000,1,11227499
disterl,1,1,4194304,1000,1,4206268
partisan,1,1,4194304,1000,1,144880
partisan,1,1,4194304,1000,1,130397
disterl,2,1,4194304,1000,1,8136856
partisan,2,1,4194304,1000,1,119547
partisan,2,2,4194304,1000,1,184945
disterl,4,1,4194304,1000,1,17412414
partisan,4,1,4194304,1000,1,205287
partisan,4,4,4194304,1000,1,401928
disterl,8,1,4194304,1000,1,247459883
partisan,8,1,4194304,1000,1,22183333
partisan,8,8,4194304,1000,1,22627874
disterl,1,1,8388608,1000,1,7059399
partisan,1,1,8388608,1000,1,116311
partisan,1,1,8388608,1000,1,104171
disterl,2,1,8388608,1000,1,15803467
partisan,2,1,8388608,1000,1,117737
partisan,2,2,8388608,1000,1,161131
disterl,4,1,8388608,1000,1,29934672
partisan,4,1,8388608,1000,1,186545
partisan,4,4,8388608,1000,1,464412
disterl,8,1,8388608,1000,1,502157483
partisan,8,1,8388608,1000,1,46511013
partisan,8,8,8388608,1000,1,48018435
disterl,1,1,1048576,1000,20,15763569
partisan,1,1,1048576,1000,20,97446
partisan,1,1,1048576,1000,20,101808
disterl,2,1,1048576,1000,20,32003141
partisan,2,1,1048576,1000,20,105403
partisan,2,2,1048576,1000,20,105543
disterl,4,1,1048576,1000,20,85560983
partisan,4,1,1048576,1000,20,132350
partisan,4,4,1048576,1000,20,123269
disterl,8,1,1048576,1000,20,1359609865
partisan,8,1,1048576,1000,20,82128505
partisan,8,8,1048576,1000,20,74316335
disterl,1,1,2097152,1000,20,31450264
partisan,1,1,2097152,1000,20,99307
partisan,1,1,2097152,1000,20,120734
disterl,2,1,2097152,1000,20,84928212
partisan,2,1,2097152,1000,20,103812
partisan,2,2,2097152,1000,20,104501
disterl,4,1,2097152,1000,20,170769151
partisan,4,1,2097152,1000,20,147647
partisan,4,4,2097152,1000,20,135652
disterl,8,1,2097152,1000,20,2685879470
partisan,8,1,2097152,1000,20,132287212
partisan,8,8,2097152,1000,20,133099622
disterl,1,1,4194304,1000,20,83646336
partisan,1,1,4194304,1000,20,105367
partisan,1,1,4194304,1000,20,113293
disterl,2,1,4194304,1000,20,169925122
partisan,2,1,4194304,1000,20,102439
partisan,2,2,4194304,1000,20,102615
disterl,4,1,4194304,1000,20,342471657
partisan,4,1,4194304,1000,20,153445
partisan,4,4,4194304,1000,20,137101
disterl,8,1,4194304,1000,20,5237703944
partisan,8,1,4194304,1000,20,256786856
partisan,8,8,4194304,1000,20,255748244
disterl,1,1,8388608,1000,20,166486356
partisan,1,1,8388608,1000,20,93033
partisan,1,1,8388608,1000,20,99454
disterl,2,1,8388608,1000,20,254174614
partisan,2,1,8388608,1000,20,105865
partisan,2,2,8388608,1000,20,110664
disterl,4,1,8388608,1000,20,682932241
partisan,4,1,8388608,1000,20,142387
partisan,4,4,8388608,1000,20,122537
disterl,8,1,8388608,1000,20,9928277699
partisan,8,1,8388608,1000,20,502628874
partisan,8,8,8388608,1000,20,502261194
disterl,1,1,1048576,1000,100,75414855
partisan,1,1,1048576,1000,100,179050
partisan,1,1,1048576,1000,100,172060
disterl,2,1,1048576,1000,100,158612453
partisan,2,1,1048576,1000,100,181849
partisan,2,2,1048576,1000,100,186976
disterl,4,1,1048576,1000,100,276790615
partisan,4,1,1048576,1000,100,213086
partisan,4,4,1048576,1000,100,224117
